Frequency 	Vpreamp
0.1	-26.1425388832621
0.100184376572403	-26.1263422281176
0.10036909309201	-26.1101448624106
0.100554150185604	-26.0939467837248
0.100739548481125	-26.0777479895695
0.100925288607668	-26.0615484772489
0.101111371195491	-26.0453482442855
0.10129779687601	-26.0291472884073
0.10148456628181	-26.0129456067426
0.101671680046638	-25.9967431968201
0.101859138805412	-25.9805400559888
0.10204694319422	-25.9643361819324
0.102235093850323	-25.9481315717531
0.102423591412157	-25.9319262230739
0.102612436519334	-25.9157201330996
0.102801629812647	-25.8995132993289
0.10299117193407	-25.8833057193119
0.103181063526759	-25.867097390061
0.103371305235058	-25.8508883092059
0.103561897704499	-25.8346784738913
0.103752841581801	-25.8184678816371
0.10394413751488	-25.8022565296884
0.104135786152843	-25.7860444154745
0.104327788145997	-25.7698315361708
0.104520144145844	-25.7536178890702
0.10471285480509	-25.7374034715348
0.104905920777644	-25.7211882810299
0.105099342718622	-25.7049723144909
0.105293121284344	-25.6887555693661
0.105487257132344	-25.6725380430058
0.105681750921366	-25.6563197324961
0.10587660331137	-25.6401006351324
0.106071814963532	-25.6238807481939
0.106267386540246	-25.6076600687983
0.106463318705131	-25.5914385942845
0.106659612123026	-25.5752163217559
0.106856267459996	-25.5589932485826
0.107053285383336	-25.5427693716648
0.10725066656157	-25.52654468845
0.107448411664456	-25.5103191959955
0.107646521362984	-25.494092891418
0.107844996329383	-25.4778657719414
0.108043837237123	-25.461637834639
0.108243044760913	-25.4454090766614
0.108442619576707	-25.4291794952988
0.108642562361707	-25.4129490873346
0.108842873794359	-25.3967178501883
0.109043554554366	-25.3804857806547
0.109244605322679	-25.3642528760292
0.109446026781508	-25.3480191332445
0.109647819614319	-25.3317845495625
0.109849984505838	-25.3155491218936
0.110052522142054	-25.2993128472151
0.110255433210222	-25.2830757227939
0.110458718398863	-25.2668377454317
0.110662378397767	-25.2505989121559
0.110866413897996	-25.2343592200844
0.111070825591886	-25.2181186661642
0.111275614173052	-25.2018772473762
0.111480780336384	-25.1856349607182
0.111686324778056	-25.169391803047
0.111892248195524	-25.1531477715391
0.112098551287531	-25.1369028629095
0.112305234754108	-25.1206570742173
0.112512299296577	-25.1044104022482
0.112719745617551	-25.0881628441905
0.112927574420942	-25.0719143966597
0.113135786411956	-25.055665056621
0.113344382297103	-25.0394148210694
0.113553362784194	-25.0231636868277
0.113762728582343	-25.0069116507972
0.113972480401975	-24.9906587096415
0.114182618954822	-24.9744048604635
0.114393144953931	-24.958150099964
0.11460405911366	-24.9418944248381
0.114815362149688	-24.9256378320866
0.115027054779011	-24.9093803185272
0.115239137719949	-24.8931218807928
0.115451611692143	-24.8768625158133
0.115664477416565	-24.8606022202202
0.115877735615513	-24.8443409908984
0.116091387012618	-24.8280788245334
0.116305432332847	-24.8118157177931
0.1165198723025	-24.7955516676328
0.116734707649219	-24.779286670406
0.116949939101987	-24.7630207232669
0.11716556739113	-24.7467538225421
0.117381593248322	-24.7304859649986
0.117598017406585	-24.7142171474926
0.117814840600293	-24.6979473664129
0.118032063565173	-24.681676618609
0.11824968703831	-24.6654049006973
0.118467711758149	-24.6491322092183
0.118686138464492	-24.6328585408638
0.11890496789851	-24.6165838922467
0.119124200802738	-24.6003082599767
0.11934383792108	-24.5840316405563
0.119563879998812	-24.5677540305098
0.119784327782586	-24.5514754265633
0.120005182020427	-24.5351958252042
0.120226443461741	-24.5189152230161
0.120448112857318	-24.5026336163769
0.120670190959328	-24.4863510020847
0.12089267852133	-24.4700673763395
0.121115576298273	-24.4537827357486
0.121338885046498	-24.4374970769212
0.121562605523738	-24.421210396235
0.121786738489126	-24.4049226901926
0.122011284703193	-24.3886339551154
0.122236244927873	-24.372344187587
0.122461619926505	-24.3560533839487
0.122687410463834	-24.3397615405561
0.122913617306017	-24.3234686541108
0.123140241220622	-24.3071747205811
0.123367282976633	-24.2908797367111
0.123594743344451	-24.2745836987266
0.123822623095899	-24.2582866029314
0.124050923004223	-24.2419884457476
0.124279643844092	-24.2256892235175
0.124508786391605	-24.2093889326162
0.124738351424294	-24.1930875691377
0.124968339721122	-24.1767851295793
0.125198752062488	-24.1604816101844
0.125429589230232	-24.1441770072158
0.125660852007633	-24.127871317029
0.125892541179417	-24.1115645357467
0.126124657531754	-24.0952566595678
0.126357201852265	-24.0789476849067
0.126590174930024	-24.0626376077504
0.126823577555559	-24.0463264245215
0.127057410520854	-24.0300141313446
0.127291674619356	-24.0137007244219
0.127526370645973	-23.997386199804
0.12776149939708	-23.9810705537144
0.127997061670518	-23.9647537823292
0.128233058265602	-23.9484358818673
0.128469489983119	-23.932116848176
0.128706357625333	-23.9157966776389
0.128943661995987	-23.8994753661357
0.129181403900306	-23.8831529098904
0.129419584144999	-23.8668293049293
0.129658203538263	-23.8505045473322
0.129897262889785	-23.8341786331521
0.130136763010746	-23.8178515583552
0.130376704713821	-23.8015233190065
0.130617088813184	-23.7851939111915
0.13085791612451	-23.7688633307267
0.131099187464978	-23.7525315737837
0.131340903653273	-23.7361986361506
0.131583065509592	-23.7198645139361
0.131825673855641	-23.7035292030318
0.132068729514642	-23.6871926992614
0.132312233311337	-23.6708549988409
0.132556186071986	-23.6545160972829
0.132800588624373	-23.6381759907728
0.133045441797809	-23.6218346751234
0.133290746423134	-23.6054921460776
0.133536503332719	-23.5891483997416
0.13378271336047	-23.5728034317285
0.134029377341831	-23.5564572378691
0.134276496113786	-23.5401098141634
0.134524070514863	-23.5237611562666
0.134772101385135	-23.5074112601223
0.135020589566224	-23.4910601212293
0.135269535901304	-23.4747077355388
