Frequency 	Vout
0.1	-24.8986260954808
0.100184376572403	-24.8824294402706
0.10036909309201	-24.8662320744973
0.100554150185604	-24.850033995745
0.100739548481125	-24.833835201523
0.100925288607668	-24.8176356891355
0.101111371195491	-24.8014354561049
0.10129779687601	-24.7852345001593
0.10148456628181	-24.7690328184269
0.101671680046638	-24.7528304084364
0.101859138805412	-24.7366272675368
0.10204694319422	-24.7204233934121
0.102235093850323	-24.704218783164
0.102423591412157	-24.6880134344159
0.102612436519334	-24.6718073443724
0.102801629812647	-24.6556005105323
0.10299117193407	-24.6393929304455
0.103181063526759	-24.6231846011247
0.103371305235058	-24.6069755201995
0.103561897704499	-24.5907656848142
0.103752841581801	-24.5745550924895
0.10394413751488	-24.5583437404697
0.104135786152843	-24.5421316261845
0.104327788145997	-24.5259187468093
0.104520144145844	-24.5097050996369
0.10471285480509	-24.4934906820294
0.104905920777644	-24.4772754914522
0.105099342718622	-24.4610595248405
0.105293121284344	-24.4448427796428
0.105487257132344	-24.4286252532094
0.105681750921366	-24.4124069426264
0.10587660331137	-24.396187845189
0.106071814963532	-24.3799679581767
0.106267386540246	-24.3637472787068
0.106463318705131	-24.3475258041185
0.106659612123026	-24.3313035315151
0.106856267459996	-24.3150804582668
0.107053285383336	-24.2988565812738
0.10725066656157	-24.2826318979833
0.107448411664456	-24.2664064054529
0.107646521362984	-24.2501801007993
0.107844996329383	-24.2339529812461
0.108043837237123	-24.217725043867
0.108243044760913	-24.2014962858125
0.108442619576707	-24.1852667043726
0.108642562361707	-24.1690362963308
0.108842873794359	-24.1528050591068
0.109043554554366	-24.1365729894948
0.109244605322679	-24.1203400847909
0.109446026781508	-24.1041063419277
0.109647819614319	-24.0878717581665
0.109849984505838	-24.0716363304183
0.110052522142054	-24.0554000556602
0.110255433210222	-24.0391629311593
0.110458718398863	-24.0229249537166
0.110662378397767	-24.0066861203606
0.110866413897996	-23.9904464282084
0.111070825591886	-23.9742058742071
0.111275614173052	-23.9579644553377
0.111480780336384	-23.941722168598
0.111686324778056	-23.9254790108449
0.111892248195524	-23.9092349792546
0.112098551287531	-23.8929900705425
0.112305234754108	-23.8767442817673
0.112512299296577	-23.8604976097149
0.112719745617551	-23.8442500515738
0.112927574420942	-23.8280016039593
0.113135786411956	-23.8117522638364
0.113344382297103	-23.7955020282005
0.113553362784194	-23.779250893874
0.113762728582343	-23.7629988577584
0.113972480401975	-23.7467459165174
0.114182618954822	-23.7304920672539
0.114393144953931	-23.7142373066683
0.11460405911366	-23.6979816314559
0.114815362149688	-23.6817250386179
0.115027054779011	-23.6654675249716
0.115239137719949	-23.6492090871498
0.115451611692143	-23.6329497220829
0.115664477416565	-23.6166894264019
0.115877735615513	-23.6004281969918
0.116091387012618	-23.5841660305381
0.116305432332847	-23.567902923709
0.1165198723025	-23.5516388734596
0.116734707649219	-23.5353738761431
0.116949939101987	-23.519107928914
0.11716556739113	-23.5028410280993
0.117381593248322	-23.4865731704652
0.117598017406585	-23.4703043528681
0.117814840600293	-23.4540345716974
0.118032063565173	-23.4377638238018
0.11824968703831	-23.4214921057983
0.118467711758149	-23.4052194142271
0.118686138464492	-23.3889457457798
0.11890496789851	-23.37267109707
0.119124200802738	-23.3563954647068
0.11934383792108	-23.3401188451927
0.119563879998812	-23.3238412350523
0.119784327782586	-23.3075626310114
0.120005182020427	-23.2912830295576
0.120226443461741	-23.2750024272746
0.120448112857318	-23.2587208205401
0.120670190959328	-23.2424382061521
0.12089267852133	-23.226154580311
0.121115576298273	-23.2098699396236
0.121338885046498	-23.1935842806995
0.121562605523738	-23.1772975999163
0.121786738489126	-23.1610098937763
0.122011284703193	-23.1447211586013
0.122236244927873	-23.1284313909748
0.122461619926505	-23.112140587238
0.122687410463834	-23.0958487437464
0.122913617306017	-23.0795558572019
0.123140241220622	-23.0632619235725
0.123367282976633	-23.0469669396024
0.123594743344451	-23.0306709015176
0.123822623095899	-23.0143738056215
0.124050923004223	-22.9980756483368
0.124279643844092	-22.9817764260052
0.124508786391605	-22.9654761350019
0.124738351424294	-22.9491747714211
0.124968339721122	-22.9328723317603
0.125198752062488	-22.9165688122622
0.125429589230232	-22.9002642091901
0.125660852007633	-22.8839585188998
0.125892541179417	-22.8676517375132
0.126124657531754	-22.8513438612299
0.126357201852265	-22.8350348864639
0.126590174930024	-22.8187248092024
0.126823577555559	-22.8024136258678
0.127057410520854	-22.7861013325846
0.127291674619356	-22.7697879255555
0.127526370645973	-22.7534734008307
0.12776149939708	-22.7371577546339
0.127997061670518	-22.7208409831411
0.128233058265602	-22.7045230825712
0.128469489983119	-22.6882040487715
0.128706357625333	-22.6718838781253
0.128943661995987	-22.6555625665132
0.129181403900306	-22.6392401101579
0.129419584144999	-22.622916505087
0.129658203538263	-22.6065917473793
0.129897262889785	-22.5902658330884
0.130136763010746	-22.5739387581802
0.130376704713821	-22.5576105187198
0.130617088813184	-22.5412811107926
0.13085791612451	-22.5249505302152
0.131099187464978	-22.5086187731595
0.131340903653273	-22.4922858354131
0.131583065509592	-22.4759517130844
0.131825673855641	-22.4596164020661
0.132068729514642	-22.443279898181
0.132312233311337	-22.4269421976457
0.132556186071986	-22.4106032959722
0.132800588624373	-22.3942631893462
0.133045441797809	-22.3779218735805
0.133290746423134	-22.361579344418
0.133536503332719	-22.3452355979647
0.13378271336047	-22.3288906298341
0.134029377341831	-22.3125444358565
0.134276496113786	-22.2961970120324
0.134524070514863	-22.2798483540168
0.134772101385135	-22.2634984577531
0.135020589566224	-22.2471473187403
0.135269535901304	-22.2307949329295
